Year,No strain,RUcode,Sector WE,locatio,lat(),log(),datec,monthc,dateI,monthel,Host details,Host general,Host full name,N,F1 (titres ????),F-type,??? (%),arg-,mal-,ara-,ramnose,glycerine,sensibility to pesticine 1,streptomycin (mm),sterpoSS (mg/ml),gentamycin (mm),gentaSS (mg/ml),chloramphenicol (mm),chloraSS (mg/ml),penicillin (mm),peniSS (mg/ml),polymyxin,ampicillin,kanamycin,cefazolin,ciprofloxacin,reaction of denitrification ,,growth on agar base medium  ????,glucose,maltose,mannitol,saccharose,arabinose,galactose,urea
2002,1460,10?-1,10521,p3600,45 16 764,76 18 978,20,5,23,5,X. gerbilli,FL-RO,Fleas on R.opimus,11,50 ???,F1+,85.4,,,,-,+,-,17,1,20,0.25,28,4,,1,12,19,,,22,-,+,,+,+,+,-,+,+,-
2002,1589,10?-1,10521,p3600,45 16 764,76 18 978,20,5,23,5,X. gerbilli,MIF,Migrating fleas,13,50 ???,F1+,97.3,,,,-,+,-,14,,19,,27,4,,8,0,28,,,23,-,+,,+,+,+,-,+,+,-
2002,1590,10?-1,10521,p3600,45 16 764,76 18 978,20,5,23,5,X. gerbilli,MIF,Migrating fleas,8,100 ???,F1+,100,,,,-,+,-,14,,15,,25,4,,8,0,20,,,24,-,+,,+,+,+,-,+,+,-
2002,1591,10?-1,10521,p3600,45 16 764,76 18 978,20,5,23,5,X. gerbilli,MIF,Migrating fleas,13,12500,F1+,83.7,,,,-,+,-,15,,16,,22,4,,8,11,22,,,17,-,+,,+,+,+,-,+,+,-
2002,1592,10?-1,10521,p3600,45 16 764,76 18 978,20,5,23,5,X. gerbilli,MIF,Migrating fleas,24,6250,F1+,96.2,,,,-,+,-,14,,15,,22,4,,8,11,20,,,23,-,+,,+,+,+,-,+,+,-
2002,1600,10?-1,10521,p3600,45 16 764,76 18 978,20,5,23,5,unidentified,MIF,Migrating fleas,31,250 ???,F1+,100,,,,-,+,-,14,,15,,25,4,,8,10,21,,,16,-,+,,+,+,+,-,+,+,-
2002,1800,10?-2,10522,p500,45 17 500, 76 26 250,21,5,25,5,unidentified,MIF,Migrating fleas,5,50 ???,F1+,98.1,,,,-,+,-,14,,15,,25,4,,8,15,20,,,20,-,+,,+,+,+,-,+,+,-
2012,1492,10?-1,10541,p500,45 06 841, 76 20 047,29,5,na,na,YM,RO,Rhombomys opimus,1,0,F1-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,1496,10?-1,10541,p500,45 06 841, 76 20 047,29,5,na,na,AM,RO,Rhombomys opimus,1,0,F1-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,1497,10?-1,10541,p500,45 06 841, 76 20 047,29,5,na,na,YFV,RO,Rhombomys opimus,1,0,F1-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,1505,10?-1,10541,p500,45 06 841, 76 20 047,29,5,na,na,AM,RO,Rhombomys opimus,1,0,F1-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,748,10?-2,10542,p5,45 06 988,76 24 967,4,10,8,10,X. conformis,FL-MM,Fleas onMeriones meridianus,7,na,na,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,749,10?-2,10542,p5,45 06 988,76 24 967,4,10,8,10,X. conformis,FL-MM,Fleas onMeriones meridianus,2,na,na,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008,672,10?-3,10543,p3300,45 02 873 ,76 19 639,13,5,16,5,AM,RO,Rhombomys opimus,1,1 ???,F1+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008,675,10?-3,10543,p3300,45 02 873 ,76 19 639,13,5,16,5,AF,RO,Rhombomys opimus,1,1 ???,F1+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008,678,10?-3,10543,p3300,45 02 873 ,76 19 639,13,5,16,5,AM,RO,Rhombomys opimus,1,1 ???,F1+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008,1301,10?-3,10543,p3300,45 02 873 ,76 19 639,13,5,16,5,unidentified,MIF,Migrating fleas,15,0,F1-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
